"","cluster","gene","avg_log2FC_vs_full_dataset","p_val","p_val_corrected","pct_of_cells_in_cluster_expressing_gene","pct_of_cells_in_dataset_expressing_gene"
"3281","23","Ccl9",1.24135107627742,3.7956508619621e-107,8.12610893037466e-103,0.439,0.015
"3282","23","Bcl2a1a",1.33120823824303,8.65552593511705e-105,1.85306154744921e-100,0.599,0.048
"3283","23","S100a4",1.57064657093504,3.6123313887788e-103,7.73364027023654e-99,0.689,0.229
"3284","23","H2-DMa",1.30354716168211,2.38468493880742e-102,5.10537198549281e-98,0.613,0.076
"3285","23","Arg2",1.19447143444265,5.78552661884171e-101,1.23862339382782e-96,0.481,0.058
"3286","23","Arl5c",1.35437491833712,9.45333189398136e-100,2.02386382518247e-95,0.608,0.068
"3287","23","Rgs1",1.61715918319487,2.56617760590578e-99,5.49392963648369e-95,0.627,0.063
"3288","23","Rilpl2",1.23195639483465,1.5968813689754e-98,3.41876332283943e-94,0.717,0.13
"3289","23","Adgre5",1.17531093943043,4.15178262634666e-97,8.88855142474557e-93,0.627,0.152
"3290","23","Fcgr3",1.28755031928472,6.71737499417802e-96,1.43812281250357e-91,0.524,0.045
"3291","23","Tnfrsf1b",1.23954094824674,1.01229018040324e-94,2.16721204722529e-90,0.58,0.087
"3292","23","Slc7a11",1.20438389972353,1.97358255339576e-90,4.22524288856499e-86,0.618,0.104
"3293","23","Cyp4f18",1.35007678920859,1.13677577620754e-88,2.43372325928273e-84,0.264,0.003
"3294","23","Pla2g7",1.18166492512138,2.63122819042062e-72,5.6331964328715e-68,0.542,0.156
"3295","23","Plac8",1.70450307881249,4.99164843215304e-69,1.06866201283964e-64,0.453,0.097
"3296","23","Lgals3",1.20838999995154,9.71382583366741e-67,2.07963297272986e-62,0.925,0.469
"3297","23","Ramp3",1.17823318440263,4.36463035128884e-59,9.34423711907428e-55,0.429,0.054
"3298","23","Il1rn",1.46782728086638,8.84182452852325e-59,1.89294621331154e-54,0.557,0.114
"3299","23","Ccrl2",1.30424152211563,2.4258225210126e-44,5.19344343523589e-40,0.509,0.123
"3300","23","Ifi27l2a",1.18173764658141,3.0050620352693e-39,6.43353731130804e-35,0.566,0.188
"3301","24","Ccl4",3.75888502837088,0,0,0.603,0.014
"3302","24","C1qa",3.45853294606988,0,0,0.989,0.029
